domain,report_type,variable,data_policy_licence,quality_flag,year,month,count
marine,0,36,0,0,1972,07, 771051
marine,0,36,0,0,1972,08, 766205
marine,0,36,0,0,1972,09, 752043
marine,0,36,0,0,1972,10, 765907
marine,0,36,0,0,1972,11, 720944
marine,0,36,0,0,1972,12, 741978
marine,0,36,0,0,1973,01, 913278
marine,0,36,0,0,1973,02, 852535
marine,0,36,0,0,1973,03, 950583
marine,0,36,0,0,1973,04, 920889
marine,0,36,0,0,1973,05, 1009938
marine,0,36,0,0,1973,06, 1045614
marine,0,36,0,0,1973,07, 1034897
marine,0,36,0,0,1973,08, 1018720
marine,0,36,0,0,1973,09, 1006429
marine,0,36,0,0,1973,10, 1015969
marine,0,36,0,0,1973,11, 951408
marine,0,36,0,0,1973,12, 930888
marine,0,36,0,0,1974,01, 997598
marine,0,36,0,0,1974,02, 962664
marine,0,36,0,0,1974,03, 1071609
marine,0,36,0,0,1974,04, 1023900
marine,0,36,0,0,1974,05, 1074300
marine,0,36,0,0,1974,06, 1025671
marine,0,36,0,0,1974,07, 1033194
marine,0,36,0,0,1974,08, 1083945
marine,0,36,0,0,1974,09, 982434
marine,0,36,0,0,1974,10, 1055474
marine,0,36,0,0,1974,11, 1008093
marine,0,36,0,0,1974,12, 991044
marine,0,36,0,0,1975,01, 977647
marine,0,36,0,0,1975,02, 953637
marine,0,36,0,0,1975,03, 1048081
marine,0,36,0,0,1975,04, 1016000
marine,0,36,0,0,1975,05, 1033285
marine,0,36,0,0,1975,06, 1028091
marine,0,36,0,0,1975,07, 1006757
marine,0,36,0,0,1975,08, 969671
marine,0,36,0,0,1975,09, 946394
marine,0,36,0,0,1975,10, 972702
marine,0,36,0,0,1975,11, 936294
marine,0,36,0,0,1975,12, 895573
marine,0,36,0,0,1976,01, 874559
marine,0,36,0,0,1976,02, 880169
marine,0,36,0,0,1976,03, 941543
marine,0,36,0,0,1976,04, 922604
marine,0,36,0,0,1976,05, 987808
marine,0,36,0,0,1976,06, 941389
marine,0,36,0,0,1976,07, 954537
marine,0,36,0,0,1976,08, 932381
marine,0,36,0,0,1976,09, 896555
marine,0,36,0,0,1976,10, 954902
marine,0,36,0,0,1976,11, 921452
marine,0,36,0,0,1976,12, 870842
marine,0,36,0,0,1977,01, 879821
marine,0,36,0,0,1977,02, 835796
marine,0,36,0,0,1977,03, 927134
marine,0,36,0,0,1977,04, 870177
marine,0,36,0,0,1977,05, 908078
marine,0,36,0,0,1977,06, 866479
marine,0,36,0,0,1977,07, 899316
marine,0,36,0,0,1977,08, 867518
marine,0,36,0,0,1977,09, 848544
marine,0,36,0,0,1977,10, 891742
marine,0,36,0,0,1977,11, 852424
marine,0,36,0,0,1977,12, 838386
marine,0,36,0,0,1978,01, 842438
marine,0,36,0,0,1978,02, 818651
marine,0,36,0,0,1978,03, 912878
marine,0,36,0,0,1978,04, 883007
marine,0,36,0,0,1978,05, 885785
marine,0,36,0,0,1978,06, 766484
marine,0,36,0,0,1978,07, 886215
marine,0,36,0,0,1978,08, 873009
marine,0,36,0,0,1978,09, 808552
marine,0,36,0,0,1978,10, 864426
marine,0,36,0,0,1978,11, 835673
marine,0,36,0,0,1978,12, 803402
marine,0,36,0,0,1979,01, 797591
marine,0,36,0,0,1979,02, 771329
marine,0,36,0,0,1979,03, 862835
marine,0,36,0,0,1979,04, 853775
marine,0,36,0,0,1979,05, 898303
marine,0,36,0,0,1979,06, 882045
marine,0,36,0,0,1979,07, 946188
marine,0,36,0,0,1979,08, 934035
marine,0,36,0,0,1979,09, 893369
marine,0,36,0,0,1979,10, 882098
marine,0,36,0,0,1979,11, 835773
marine,0,36,0,0,1979,12, 780675
marine,0,36,0,0,1980,01, 928399
marine,0,36,0,0,1980,02, 931964
marine,0,36,0,0,1980,03, 996245
marine,0,36,0,0,1980,04, 1003122
marine,0,36,0,0,1980,05, 1048524
marine,0,36,0,0,1980,06, 1003571
marine,0,36,0,0,1980,07, 1025541
marine,0,36,0,0,1980,08, 1003453
marine,0,36,0,0,1980,09, 961779
marine,0,36,0,0,1980,10, 957312
marine,0,36,0,0,1980,11, 933907
marine,0,36,0,0,1980,12, 893925
marine,0,36,0,0,1981,01, 924734
marine,0,36,0,0,1981,02, 861733
marine,0,36,0,0,1981,03, 987951
marine,0,36,0,0,1981,04, 975615
marine,0,36,0,0,1981,05, 989576
marine,0,36,0,0,1981,06, 967138
marine,0,36,0,0,1981,07, 972640
marine,0,36,0,0,1981,08, 975674
marine,0,36,0,0,1981,09, 955618
marine,0,36,0,0,1981,10, 952633
marine,0,36,0,0,1981,11, 919865
marine,0,36,0,0,1981,12, 856363
marine,0,36,0,0,1982,01, 781167
marine,0,36,0,0,1982,02, 762543
marine,0,36,0,0,1982,03, 871578
marine,0,36,0,0,1982,04, 865167
marine,0,36,0,0,1982,05, 865735
marine,0,36,0,0,1982,06, 854103
marine,0,36,0,0,1982,07, 830953
marine,0,36,0,0,1982,08, 847799
marine,0,36,0,0,1982,09, 807391
marine,0,36,0,0,1982,10, 864711
marine,0,36,0,0,1982,11, 811972
marine,0,36,0,0,1982,12, 781741
marine,0,36,0,0,1983,01, 841173
marine,0,36,0,0,1983,02, 796809
marine,0,36,0,0,1983,03, 877971
marine,0,36,0,0,1983,04, 874918
marine,0,36,0,0,1983,05, 888937
marine,0,36,0,0,1983,06, 887825
marine,0,36,0,0,1983,07, 909975
marine,0,36,0,0,1983,08, 906851
marine,0,36,0,0,1983,09, 876866
marine,0,36,0,0,1983,10, 925788
marine,0,36,0,0,1983,11, 890322
marine,0,36,0,0,1983,12, 857553
marine,0,36,0,0,1984,01, 855999
marine,0,36,0,0,1984,02, 844725
marine,0,36,0,0,1984,03, 930818
marine,0,36,0,0,1984,04, 887738
marine,0,36,0,0,1984,05, 916213
marine,0,36,0,0,1984,06, 884608
marine,0,36,0,0,1984,07, 883752
marine,0,36,0,0,1984,08, 882258
marine,0,36,0,0,1984,09, 876344
marine,0,36,0,0,1984,10, 931193
marine,0,36,0,0,1984,11, 923627
marine,0,36,0,0,1984,12, 884518
marine,0,36,0,0,1985,01, 914181
marine,0,36,0,0,1985,02, 861502
marine,0,36,0,0,1985,03, 963171
marine,0,36,0,0,1985,04, 933220
marine,0,36,0,0,1985,05, 964677
marine,0,36,0,0,1985,06, 947125
marine,0,36,0,0,1985,07, 958054
marine,0,36,0,0,1985,08, 971620
marine,0,36,0,0,1985,09, 905575
marine,0,36,0,0,1985,10, 961664
marine,0,36,0,0,1985,11, 903285
marine,0,36,0,0,1985,12, 885408
marine,0,36,0,0,1986,01, 944484
marine,0,36,0,0,1986,02, 925290
marine,0,36,0,0,1986,03, 1026047
marine,0,36,0,0,1986,04, 1017968
marine,0,36,0,0,1986,05, 1045860
marine,0,36,0,0,1986,06, 1017033
marine,0,36,0,0,1986,07, 1002930
marine,0,36,0,0,1986,08, 1012986
marine,0,36,0,0,1986,09, 935068
marine,0,36,0,0,1986,10, 941481
marine,0,36,0,0,1986,11, 927772
marine,0,36,0,0,1986,12, 885288
marine,0,36,0,0,1987,01, 936888
marine,0,36,0,0,1987,02, 877671
marine,0,36,0,0,1987,03, 950714
marine,0,36,0,0,1987,04, 955418
marine,0,36,0,0,1987,05, 1007494
marine,0,36,0,0,1987,06, 987148
marine,0,36,0,0,1987,07, 1005552
marine,0,36,0,0,1987,08, 1000044
marine,0,36,0,0,1987,09, 967747
marine,0,36,0,0,1987,10, 1006783
marine,0,36,0,0,1987,11, 977572
marine,0,36,0,0,1987,12, 932612
marine,0,36,0,0,1988,01, 965503
marine,0,36,0,0,1988,02, 943747
marine,0,36,0,0,1988,03, 1037125
marine,0,36,0,0,1988,04, 998205
marine,0,36,0,0,1988,05, 1028182
marine,0,36,0,0,1988,06, 1004457
marine,0,36,0,0,1988,07, 1027999
marine,0,36,0,0,1988,08, 1020904
marine,0,36,0,0,1988,09, 976971
marine,0,36,0,0,1988,10, 1009617
marine,0,36,0,0,1988,11, 943238
marine,0,36,0,0,1988,12, 913698
marine,0,36,0,0,1989,01, 933240
marine,0,36,0,0,1989,02, 862712
marine,0,36,0,0,1989,03, 934024
marine,0,36,0,0,1989,04, 912108
marine,0,36,0,0,1989,05, 934425
marine,0,36,0,0,1989,06, 888602
marine,0,36,0,0,1989,07, 915525
marine,0,36,0,0,1989,08, 914212
marine,0,36,0,0,1989,09, 886699
marine,0,36,0,0,1989,10, 907010
marine,0,36,0,0,1989,11, 860355
marine,0,36,0,0,1989,12, 825815
marine,0,36,0,0,1990,01, 842678
marine,0,36,0,0,1990,02, 820495
marine,0,36,0,0,1990,03, 902083
marine,0,36,0,0,1990,04, 869670
marine,0,36,0,0,1990,05, 914725
marine,0,36,0,0,1990,06, 882495
marine,0,36,0,0,1990,07, 887284
marine,0,36,0,0,1990,08, 888046
marine,0,36,0,0,1990,09, 850699
marine,0,36,0,0,1990,10, 861880
marine,0,36,0,0,1990,11, 828474
marine,0,36,0,0,1990,12, 816398
marine,0,36,0,0,1991,01, 792435
marine,0,36,0,0,1991,02, 737572
marine,0,36,0,0,1991,03, 823112
marine,0,36,0,0,1991,04, 794125
marine,0,36,0,0,1991,05, 804076
marine,0,36,0,0,1991,06, 762193
marine,0,36,0,0,1991,07, 764647
marine,0,36,0,0,1991,08, 777900
marine,0,36,0,0,1991,09, 758909
marine,0,36,0,0,1991,10, 769568
marine,0,36,0,0,1991,11, 706520
marine,0,36,0,0,1991,12, 697300
marine,0,36,0,0,1992,01, 712796
marine,0,36,0,0,1992,02, 721188
marine,0,36,0,0,1992,03, 771248
marine,0,36,0,0,1992,04, 746767
marine,0,36,0,0,1992,05, 766960
marine,0,36,0,0,1992,06, 755570
marine,0,36,0,0,1992,07, 772109
marine,0,36,0,0,1992,08, 757339
marine,0,36,0,0,1992,09, 728118
marine,0,36,0,0,1992,10, 746450
marine,0,36,0,0,1992,11, 714918
marine,0,36,0,0,1992,12, 707779
marine,0,36,0,0,1993,01, 686142
marine,0,36,0,0,1993,02, 661314
marine,0,36,0,0,1993,03, 743443
marine,0,36,0,0,1993,04, 726532
marine,0,36,0,0,1993,05, 751904
marine,0,36,0,0,1993,06, 744819
marine,0,36,0,0,1993,07, 749389
marine,0,36,0,0,1993,08, 747674
marine,0,36,0,0,1993,09, 714866
marine,0,36,0,0,1993,10, 733735
marine,0,36,0,0,1993,11, 706566
marine,0,36,0,0,1993,12, 684852
marine,0,36,0,0,1994,01, 713826
marine,0,36,0,0,1994,02, 666209
marine,0,36,0,0,1994,03, 742120
marine,0,36,0,0,1994,04, 719297
marine,0,36,0,0,1994,05, 743886
marine,0,36,0,0,1994,06, 727336
marine,0,36,0,0,1994,07, 735034
marine,0,36,0,0,1994,08, 763978
marine,0,36,0,0,1994,09, 721625
marine,0,36,0,0,1994,10, 716234
marine,0,36,0,0,1994,11, 695163
marine,0,36,0,0,1994,12, 673310
