path_prefix|batch_id|of_n_batches|batch_length
daily/CDM_lite_FirstRelease_BR002143*|daily-CDM_lite_FirstRelease_BR002143|5489|1
daily/CDM_lite_FirstRelease_BR002144*|daily-CDM_lite_FirstRelease_BR002144|5489|1
daily/CDM_lite_FirstRelease_BR002145*|daily-CDM_lite_FirstRelease_BR002145|5489|1
daily/CDM_lite_FirstRelease_BR002241*|daily-CDM_lite_FirstRelease_BR002241|5489|1
daily/CDM_lite_FirstRelease_BR002244*|daily-CDM_lite_FirstRelease_BR002244|5489|2
daily/CDM_lite_FirstRelease_BR002245*|daily-CDM_lite_FirstRelease_BR002245|5489|2
daily/CDM_lite_FirstRelease_BR002351*|daily-CDM_lite_FirstRelease_BR002351|5489|1
daily/CDM_lite_FirstRelease_BR002450*|daily-CDM_lite_FirstRelease_BR002450|5489|1
daily/CDM_lite_FirstRelease_BR002452*|daily-CDM_lite_FirstRelease_BR002452|5489|1
daily/CDM_lite_FirstRelease_BR002454*|daily-CDM_lite_FirstRelease_BR002454|5489|1
daily/CDM_lite_FirstRelease_BR002548*|daily-CDM_lite_FirstRelease_BR002548|5489|1
daily/CDM_lite_FirstRelease_BR002549*|daily-CDM_lite_FirstRelease_BR002549|5489|1
daily/CDM_lite_FirstRelease_BR002554*|daily-CDM_lite_FirstRelease_BR002554|5489|1
daily/CDM_lite_FirstRelease_BR002649*|daily-CDM_lite_FirstRelease_BR002649|5489|1
daily/CDM_lite_FirstRelease_BR002752*|daily-CDM_lite_FirstRelease_BR002752|5489|1
daily/CDM_lite_FirstRelease_BR002849*|daily-CDM_lite_FirstRelease_BR002849|5489|1
daily/CDM_lite_FirstRelease_BR002957*|daily-CDM_lite_FirstRelease_BR002957|5489|1
daily/CDM_lite_FirstRelease_BR003252*|daily-CDM_lite_FirstRelease_BR003252|5489|1
daily/CDM_lite_FirstRelease_BR008161*|daily-CDM_lite_FirstRelease_BR008161|5489|1
daily/CDM_lite_FirstRelease_BR008250*|daily-CDM_lite_FirstRelease_BR008250|5489|1
daily/CDM_lite_FirstRelease_BR00B6-0*|daily-CDM_lite_FirstRelease_BR00B6-0|5489|1
daily/CDM_lite_FirstRelease_BR00C4-0*|daily-CDM_lite_FirstRelease_BR00C4-0|5489|2
daily/CDM_lite_FirstRelease_BR00C5-0*|daily-CDM_lite_FirstRelease_BR00C5-0|5489|1
daily/CDM_lite_FirstRelease_BR00D4-0*|daily-CDM_lite_FirstRelease_BR00D4-0|5489|1
daily/CDM_lite_FirstRelease_BR00D6-0*|daily-CDM_lite_FirstRelease_BR00D6-0|5489|1
daily/CDM_lite_FirstRelease_BR00D8-0*|daily-CDM_lite_FirstRelease_BR00D8-0|5489|1
daily/CDM_lite_FirstRelease_BR00E2-0*|daily-CDM_lite_FirstRelease_BR00E2-0|5489|1
daily/CDM_lite_FirstRelease_BR00E3-0*|daily-CDM_lite_FirstRelease_BR00E3-0|5489|2
daily/CDM_lite_FirstRelease_BR00E3-1*|daily-CDM_lite_FirstRelease_BR00E3-1|5489|1
daily/CDM_lite_FirstRelease_BR00E4-1*|daily-CDM_lite_FirstRelease_BR00E4-1|5489|1
daily/CDM_lite_FirstRelease_BR026393*|daily-CDM_lite_FirstRelease_BR026393|5489|1
daily/CDM_lite_FirstRelease_BR027510*|daily-CDM_lite_FirstRelease_BR027510|5489|1
daily/CDM_lite_FirstRelease_BR027568*|daily-CDM_lite_FirstRelease_BR027568|5489|1
daily/CDM_lite_FirstRelease_BR027794*|daily-CDM_lite_FirstRelease_BR027794|5489|1
daily/CDM_lite_FirstRelease_BR027865*|daily-CDM_lite_FirstRelease_BR027865|5489|1
daily/CDM_lite_FirstRelease_BR028724*|daily-CDM_lite_FirstRelease_BR028724|5489|1
daily/CDM_lite_FirstRelease_BR028946*|daily-CDM_lite_FirstRelease_BR028946|5489|1
daily/CDM_lite_FirstRelease_BR036150*|daily-CDM_lite_FirstRelease_BR036150|5489|1
daily/CDM_lite_FirstRelease_BR036190*|daily-CDM_lite_FirstRelease_BR036190|5489|1
daily/CDM_lite_FirstRelease_BR036456*|daily-CDM_lite_FirstRelease_BR036456|5489|1
daily/CDM_lite_FirstRelease_BR037041*|daily-CDM_lite_FirstRelease_BR037041|5489|2
daily/CDM_lite_FirstRelease_BR037083*|daily-CDM_lite_FirstRelease_BR037083|5489|1
daily/CDM_lite_FirstRelease_BR037335*|daily-CDM_lite_FirstRelease_BR037335|5489|1
daily/CDM_lite_FirstRelease_BR037657*|daily-CDM_lite_FirstRelease_BR037657|5489|1
daily/CDM_lite_FirstRelease_BR037672*|daily-CDM_lite_FirstRelease_BR037672|5489|1
daily/CDM_lite_FirstRelease_BR037835*|daily-CDM_lite_FirstRelease_BR037835|5489|1
daily/CDM_lite_FirstRelease_BR037897*|daily-CDM_lite_FirstRelease_BR037897|5489|1
daily/CDM_lite_FirstRelease_BR037953*|daily-CDM_lite_FirstRelease_BR037953|5489|1
daily/CDM_lite_FirstRelease_BR038014*|daily-CDM_lite_FirstRelease_BR038014|5489|1
daily/CDM_lite_FirstRelease_BR038062*|daily-CDM_lite_FirstRelease_BR038062|5489|1
daily/CDM_lite_FirstRelease_BR038192*|daily-CDM_lite_FirstRelease_BR038192|5489|1
daily/CDM_lite_FirstRelease_BR038196*|daily-CDM_lite_FirstRelease_BR038196|5489|1
daily/CDM_lite_FirstRelease_BR038217*|daily-CDM_lite_FirstRelease_BR038217|5489|1
daily/CDM_lite_FirstRelease_BR038416*|daily-CDM_lite_FirstRelease_BR038416|5489|1
daily/CDM_lite_FirstRelease_BR038484*|daily-CDM_lite_FirstRelease_BR038484|5489|1
daily/CDM_lite_FirstRelease_BR038536*|daily-CDM_lite_FirstRelease_BR038536|5489|1
daily/CDM_lite_FirstRelease_BR038710*|daily-CDM_lite_FirstRelease_BR038710|5489|1
daily/CDM_lite_FirstRelease_BR038777*|daily-CDM_lite_FirstRelease_BR038777|5489|1
daily/CDM_lite_FirstRelease_BR038837*|daily-CDM_lite_FirstRelease_BR038837|5489|1
daily/CDM_lite_FirstRelease_BR038983*|daily-CDM_lite_FirstRelease_BR038983|5489|1
daily/CDM_lite_FirstRelease_BR039402*|daily-CDM_lite_FirstRelease_BR039402|5489|1
daily/CDM_lite_FirstRelease_BR047099*|daily-CDM_lite_FirstRelease_BR047099|5489|1
daily/CDM_lite_FirstRelease_BR047266*|daily-CDM_lite_FirstRelease_BR047266|5489|1
daily/CDM_lite_FirstRelease_BR047370*|daily-CDM_lite_FirstRelease_BR047370|5489|1
daily/CDM_lite_FirstRelease_BR047403*|daily-CDM_lite_FirstRelease_BR047403|5489|1
daily/CDM_lite_FirstRelease_BR047571*|daily-CDM_lite_FirstRelease_BR047571|5489|1
